ID,Firstname,Surname,Born,Gender,Year,CategoryID,Share,Motivation,Affiliation at time of award,City,CountryID
167,Jacobus Henricus,van 't Hoff,08/30/1852,1,1901,1,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",Berlin University,Berlin,20
168,Hermann Emil,Fischer,10/09/1852,1,1902,1,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",Berlin University,Berlin,20
169,Svante August,Arrhenius,02/19/1859,1,1903,1,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",Stockholm University,Stockholm,56
170,Sir William,Ramsay,10/02/1852,1,1904,1,1,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",University College,London,63
171,Johann Friedrich Wilhelm Adolf,von Baeyer,10/31/1835,1,1905,1,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",Munich University,Munich,20
172,Henri,Moissan,09/28/1852,1,1906,1,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",Sorbonne University,Paris,19
173,Eduard,Buchner,05/20/1860,1,1907,1,1,"""for his biochemical researches and his discovery of cell-free fermentation""",Landwirtschaftliche Hochschule (Agricultural College),Berlin,20
174,Ernest,Rutherford,08/30/1871,1,1908,1,1,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",Victoria University,Manchester,63
175,Wilhelm,Ostwald,09/02/1853,1,1909,1,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",Leipzig University,Leipzig,20
176,Otto,Wallach,03/27/1847,1,1910,1,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Goettingen University,G_ttingen,20
177,Victor,Grignard,05/06/1871,1,1912,1,2,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",Nancy University,Nancy,19
178,Paul,Sabatier,11/05/1854,1,1912,1,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",Toulouse University,Toulouse,19
179,Alfred,Werner,12/12/1866,1,1913,1,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",University of Zurich,Zurich,57
180,Theodore William,Richards,01/31/1868,1,1914,1,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",Harvard University,"Cambridge, MA",64
181,Richard Martin,Willst_tter,08/13/1872,1,1915,1,1,"""for his researches on plant pigments, especially chlorophyll""",Munich University,Munich,20
182,Fritz,Haber,12/09/1868,1,1918,1,1,"""for the synthesis of ammonia from its elements""",Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) fôr physikalische Chemie und Electrochemie,Berlin-Dahlem,20
183,Walther Hermann,Nernst,06/25/1864,1,1920,1,1,"""in recognition of his work in thermochemistry""",Berlin University,Berlin,20
184,Frederick,Soddy,09/02/1877,1,1921,1,1,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",University of Oxford,Oxford,63
185,Francis William,Aston,09/01/1877,1,1922,1,1,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",University of Cambridge,Cambridge,63
186,Fritz,Pregl,09/03/1869,1,1923,1,1,"""for his invention of the method of micro-analysis of organic substances""",Graz University,Graz,4
187,Richard Adolf,Zsigmondy,04/01/1865,1,1925,1,1,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",Goettingen University,G_ttingen,20
188,The (Theodor),Svedberg,08/30/1884,1,1926,1,1,"""for his work on disperse systems""",Uppsala University,Uppsala,56
189,Heinrich Otto,Wieland,06/04/1877,1,1927,1,1,"""for his investigations of the constitution of the bile acids and related substances""",Munich University,Munich,20
190,Adolf Otto Reinhold,Windaus,12/25/1876,1,1928,1,1,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",Goettingen University,G_ttingen,20
191,Arthur,Harden,10/12/1865,1,1929,1,2,"""for their investigations on the fermentation of sugar and fermentative enzymes""",London University,London,63
192,Hans Karl August Simon,von Euler-Chelpin,02/15/1873,1,1929,1,2,"""for their investigations on the fermentation of sugar and fermentative enzymes""",Stockholm University,Stockholm,56
193,Hans,Fischer,07/27/1881,1,1930,1,1,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",Technische Hochschule (Institute of Technology),Munich,20
194,Carl,Bosch,08/27/1874,1,1931,1,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,20
195,Carl,Bosch,08/27/1874,1,1931,1,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",I.G. Farbenindustrie A.G.,Heidelberg,20
196,Friedrich,Bergius,10/11/1884,1,1931,1,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",University of Heidelberg,Heidelberg,20
197,Friedrich,Bergius,10/11/1884,1,1931,1,2,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",I.G. Farbenindustrie A.G.,Mannheim-Rheinau,20
198,Irving,Langmuir,01/31/1881,1,1932,1,1,"""for his discoveries and investigations in surface chemistry""",General Electric Company,"Schenectady, NY",64
199,Harold Clayton,Urey,04/29/1893,1,1934,1,1,"""for his discovery of heavy hydrogen""",Columbia University,"New York, NY",64
200,Fr_d_ric,Joliot,3/19/1900,1,1935,1,2,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,19
201,Irne,Joliot-Curie,09/12/1897,0,1935,1,2,"""in recognition of their synthesis of new radioactive elements""",Institut du Radium,Paris,19
202,Petrus (Peter) Josephus Wilhelmus,Debye,03/24/1884,1,1936,1,1,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Berlin University,Berlin,20
203,Petrus (Peter) Josephus Wilhelmus,Debye,03/24/1884,1,1936,1,1,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Physik,Berlin,20
204,Walter Norman,Haworth,03/19/1883,1,1937,1,2,"""for his investigations on carbohydrates and vitamin C""",Birmingham University,Birmingham,63
205,Paul,Karrer,04/21/1889,1,1937,1,2,"""for his investigations on carotenoids, flavins and vitamins A and B2""",University of Zurich,Zurich,57
206,Richard,Kuhn,12/03/1900,1,1938,1,1,"""for his work on carotenoids and vitamins""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) fôr Medizinische Forschung,Heidelberg,20
207,Richard,Kuhn,12/03/1900,1,1938,1,1,"""for his work on carotenoids and vitamins""",University of Heidelberg,Heidelberg,20
208,Adolf Friedrich Johann,Butenandt,3/24/1903,1,1939,1,2,"""for his work on sex hormones""",Berlin University,Berlin,20
209,Adolf Friedrich Johann,Butenandt,3/24/1903,1,1939,1,2,"""for his work on sex hormones""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Biochemie,Berlin-Dahlem,20
210,Leopold,Ruzicka,09/13/1887,1,1939,1,2,"""for his work on polymethylenes and higher terpenes""",Eidgen_ssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,57
211,George,de Hevesy,08/01/1885,1,1943,1,1,"""for his work on the use of isotopes as tracers in the study of chemical processes""",Stockholm University,Stockholm,56
212,Otto,Hahn,03/08/1879,1,1944,1,1,"""for his discovery of the fission of heavy nuclei""",Kaiser-Wilhelm-Institut (now Max-Planck Institut) fôr Chemie,Berlin-Dahlem,20
213,Artturi Ilmari,Virtanen,01/15/1895,1,1945,1,1,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",University of Helsinki,Helsinki,18
214,James Batcheller,Sumner,11/19/1887,1,1946,1,2,"""for his discovery that enzymes can be crystallized""",Cornell University,"Ithaca, NY",64
215,John Howard,Northrop,07/05/1891,1,1946,1,4,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,"Princeton, NJ",64
216,Wendell Meredith,Stanley,8/16/1904,1,1946,1,4,"""for their preparation of enzymes and virus proteins in a pure form""",Rockefeller Institute for Medical Research,"Princeton, NJ",64
217,Sir Robert,Robinson,09/13/1886,1,1947,1,1,"""for his investigations on plant products of biological importance, especially the alkaloids""",University of Oxford,Oxford,63
218,Arne Wilhelm Kaurin,Tiselius,8/10/1902,1,1948,1,1,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",Uppsala University,Uppsala,56
219,William Francis,Giauque,05/12/1895,1,1949,1,1,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",University of California,"Berkeley, CA",64
220,Otto Paul Hermann,Diels,01/23/1876,1,1950,1,2,"""for their discovery and development of the diene synthesis""",Kiel University,Kiel,20
221,Kurt,Alder,7/10/1902,1,1950,1,2,"""for their discovery and development of the diene synthesis""",Cologne University,Cologne,20
222,Edwin Mattison,McMillan,9/18/1907,1,1951,1,2,"""for their discoveries in the chemistry of the transuranium elements""",University of California,"Berkeley, CA",64
223,Glenn Theodore,Seaborg,4/19/1912,1,1951,1,2,"""for their discoveries in the chemistry of the transuranium elements""",University of California,"Berkeley, CA",64
224,Archer John Porter,Martin,3/01/1910,1,1952,1,2,"""for their invention of partition chromatography""",National Institute for Medical Research,London,63
225,Richard Laurence Millington,Synge,10/28/1914,1,1952,1,2,"""for their invention of partition chromatography""",Rowett Research Institute,Bucksburn (Scotland),63
226,Hermann,Staudinger,03/23/1881,1,1953,1,1,"""for his discoveries in the field of macromolecular chemistry""",University of Freiburg,Breisgau,20
227,Hermann,Staudinger,03/23/1881,1,1953,1,1,"""for his discoveries in the field of macromolecular chemistry""","Staatliches Institut fôr makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,20
228,Linus Carl,Pauling,2/28/1901,1,1954,1,1,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",California Institute of Technology (Caltech),"Pasadena, CA",64
229,Linus Carl,Pauling,2/28/1901,1,1962,5,1,,California Institute of Technology (Caltech),"Pasadena, CA",64
230,Vincent,du Vigneaud,5/18/1901,1,1955,1,1,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",Cornell University,"Ithaca, NY",64
231,Sir Cyril Norman,Hinshelwood,05/19/1897,1,1956,1,2,"""for their researches into the mechanism of chemical reactions""",University of Oxford,Oxford,63
232,Nikolay Nikolaevich,Semenov,04/03/1896,1,1956,1,2,"""for their researches into the mechanism of chemical reactions""",Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,65
233,Lord (Alexander R.),Todd,10/02/1907,1,1957,1,1,"""for his work on nucleotides and nucleotide co-enzymes""",University of Cambridge,Cambridge,63
234,Frederick,Sanger,8/13/1918,1,1958,1,1,"""for his work on the structure of proteins, especially that of insulin""",University of Cambridge,Cambridge,63
235,Frederick,Sanger,8/13/1918,1,1980,1,4,"""for their contributions concerning the determination of base sequences in nucleic acids""",MRC Laboratory of Molecular Biology,Cambridge,63
236,Jaroslav,Heyrovsky,12/20/1890,1,1959,1,1,"""for his discovery and development of the polarographic methods of analysis""",Polarographic Institute of the Czechoslovak Academy of Science,Prague,14
237,Willard Frank,Libby,12/17/1908,1,1960,1,1,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",University of California,"Los Angeles, CA",64
238,Melvin,Calvin,4/08/1911,1,1961,1,1,"""for his research on the carbon dioxide assimilation in plants""",University of California,"Berkeley, CA",64
239,Max Ferdinand,Perutz,5/19/1914,1,1962,1,2,"""for their studies of the structures of globular proteins""",MRC Laboratory of Molecular Biology,Cambridge,63
240,John Cowdery,Kendrew,3/24/1917,1,1962,1,2,"""for their studies of the structures of globular proteins""",MRC Laboratory of Molecular Biology,Cambridge,63
241,Karl,Ziegler,11/26/1898,1,1963,1,2,"""for their discoveries in the field of the chemistry and technology of high polymers""",Max-Planck-Institut fôr Kohlenforschung (Max-Planck-Institute for Carbon Research),Môlheim/Ruhr,20
242,Giulio,Natta,2/26/1903,1,1963,1,2,"""for their discoveries in the field of the chemistry and technology of high polymers""",Institute of Technology,Milan,33
243,Dorothy Crowfoot,Hodgkin,5/12/1910,0,1964,1,1,"""for her determinations by X-ray techniques of the structures of important biochemical substances""","University of Oxford, Royal Society",Oxford,63
244,Robert Burns,Woodward,4/10/1917,1,1965,1,1,"""for his outstanding achievements in the art of organic synthesis""",Harvard University,"Cambridge, MA",64
245,Robert S.,Mulliken,06/07/1896,1,1966,1,1,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",University of Chicago,"Chicago, IL",64
246,Manfred,Eigen,5/09/1927,1,1967,1,2,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Max-Planck-Institut fôr Physikalische Chemie,G_ttingen,20
247,Ronald George Wreyford,Norrish,11/09/1897,1,1967,1,4,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Institute of Physical Chemistry,Cambridge,63
248,George,Porter,12/06/1920,1,1967,1,4,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",Royal Institution of Great Britain,London,63
249,Lars,Onsager,11/27/1903,1,1968,1,1,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",Yale University,"New Haven, CT",64
250,Derek H. R.,Barton,9/08/1918,1,1969,1,2,"""for their contributions to the development of the concept of conformation and its application in chemistry""",Imperial College,London,63
251,Odd,Hassel,05/17/1897,1,1969,1,2,"""for their contributions to the development of the concept of conformation and its application in chemistry""",University of Oslo,Oslo,44
252,Luis F.,Leloir,9/06/1906,1,1970,1,1,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",Institute for Biochemical Research,Buenos Aires,2
253,Gerhard,Herzberg,12/25/1904,1,1971,1,1,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",National Research Council of Canada,Ottawa,9
254,Christian B.,Anfinsen,3/26/1916,1,1972,1,2,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",National Institutes of Health,"Bethesda, MD",64
255,Stanford,Moore,9/04/1913,1,1972,1,4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Rockefeller University,"New York, NY",64
256,William H.,Stein,6/25/1911,1,1972,1,4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",Rockefeller University,"New York, NY",64
257,Ernst Otto,Fischer,11/10/1918,1,1973,1,2,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Technical University,Munich,20
258,Geoffrey,Wilkinson,7/14/1921,1,1973,1,2,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",Imperial College,London,63
259,Paul J.,Flory,6/19/1910,1,1974,1,1,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",Stanford University,"Stanford, CA",64
260,John Warcup,Cornforth,9/07/1917,1,1975,1,2,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",University of Sussex,Brighton,63
261,Vladimir,Prelog,7/23/1906,1,1975,1,2,"""for his research into the stereochemistry of organic molecules and reactions""",Eidgen_ssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,57
262,William N.,Lipscomb,12/09/1919,1,1976,1,1,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",Harvard University,"Cambridge, MA",64
263,Ilya,Prigogine,1/25/1917,1,1977,1,1,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",University of Texas,"Austin, TX",64
264,Ilya,Prigogine,1/25/1917,1,1977,1,1,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",Universit_ Libre de Bruxelles,Brussels,6
265,Peter D.,Mitchell,9/29/1920,1,1978,1,1,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",Glynn Research Laboratories,Bodmin,63
266,Herbert C.,Brown,5/22/1912,1,1979,1,2,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",Purdue University,"West Lafayette, IN",64
267,Georg,Wittig,06/16/1897,1,1979,1,2,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",University of Heidelberg,Heidelberg,20
268,Paul,Berg,6/30/1926,1,1980,1,2,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",Stanford University,"Stanford, CA",64
269,Walter,Gilbert,3/21/1932,1,1980,1,4,"""for their contributions concerning the determination of base sequences in nucleic acids""","Harvard University, Biological Laboratories","Cambridge, MA",64
270,Kenichi,Fukui,10/04/1918,1,1981,1,2,"""for their theories, developed independently, concerning the course of chemical reactions""",Kyoto University,Kyoto,34
271,Roald,Hoffmann,7/18/1937,1,1981,1,2,"""for their theories, developed independently, concerning the course of chemical reactions""",Cornell University,"Ithaca, NY",64
272,Aaron,Klug,8/11/1926,1,1982,1,1,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",MRC Laboratory of Molecular Biology,Cambridge,63
273,Henry,Taube,11/30/1915,1,1983,1,1,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",Stanford University,"Stanford, CA",64
274,Robert Bruce,Merrifield,7/15/1921,1,1984,1,1,"""for his development of methodology for chemical synthesis on a solid matrix""",Rockefeller University,"New York, NY",64
275,Herbert A.,Hauptman,2/14/1917,1,1985,1,2,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",The Medical Foundation of Buffalo,"Buffalo, NY",64
276,Jerome,Karle,6/18/1918,1,1985,1,2,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",US Naval Research Laboratory,"Washington, DC",64
277,Dudley R.,Herschbach,6/18/1932,1,1986,1,3,"""for their contributions concerning the dynamics of chemical elementary processes""",Harvard University,"Cambridge, MA",64
278,Yuan T.,Lee,11/19/1936,1,1986,1,3,"""for their contributions concerning the dynamics of chemical elementary processes""",University of California,"Berkeley, CA",64
279,John C.,Polanyi,1/23/1929,1,1986,1,3,"""for their contributions concerning the dynamics of chemical elementary processes""",University of Toronto,Toronto,9
280,Donald J.,Cram,4/22/1919,1,1987,1,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",University of California,"Los Angeles, CA",64
281,Jean-Marie,Lehn,9/30/1939,1,1987,1,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Collge de France,Paris,19
282,Jean-Marie,Lehn,9/30/1939,1,1987,1,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Universit_ Louis Pasteur,Strasbourg,19
283,Charles J.,Pedersen,10/03/1904,1,1987,1,3,"""for their development and use of molecules with structure-specific interactions of high selectivity""",Du Pont,"Wilmington, DE",64
284,Johann,Deisenhofer,9/30/1943,1,1988,1,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",64
285,Johann,Deisenhofer,9/30/1943,1,1988,1,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Howard Hughes Medical Institute,,20
286,Robert,Huber,2/20/1937,1,1988,1,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Max-Planck-Institut fôr Biochemie,Martinsried,20
287,Hartmut,Michel,7/18/1948,1,1988,1,3,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",Max-Planck-Institut fôr Biophysik,Frankfurt-on-the-Main,20
288,Sidney,Altman,5/07/1939,1,1989,1,2,"""for their discovery of catalytic properties of RNA""",Yale University,"New Haven, CT",64
289,Thomas R.,Cech,12/08/1947,1,1989,1,2,"""for their discovery of catalytic properties of RNA""",University of Colorado,"Boulder, CO",64
290,Elias James,Corey,7/12/1928,1,1990,1,1,"""for his development of the theory and methodology of organic synthesis""",Harvard University,"Cambridge, MA",64
291,Richard R.,Ernst,8/14/1933,1,1991,1,1,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",Eidgen_ssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,57
292,Rudolph A.,Marcus,7/21/1923,1,1992,1,1,"""for his contributions to the theory of electron transfer reactions in chemical systems""",California Institute of Technology (Caltech),"Pasadena, CA",64
293,Kary B.,Mullis,12/28/1944,1,1993,1,2,"""for his invention of the polymerase chain reaction (PCR) method""",,"La Jolla, CA",64
294,Michael,Smith,4/26/1932,1,1993,1,2,"""for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",University of British Columbia,Vancouver,9
295,George A.,Olah,5/22/1927,1,1994,1,1,"""for his contribution to carbocation chemistry""",University of Southern California,"Los Angeles, CA",64
296,Paul J.,Crutzen,12/03/1933,1,1995,1,3,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Max-Planck-Institut fôr Chemie,Mainz,20
297,Mario J.,Molina,3/19/1943,1,1995,1,3,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
298,F. Sherwood,Rowland,6/28/1927,1,1995,1,3,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",University of California,"Irvine, CA",64
299,Robert F.,Curl Jr.,8/23/1933,1,1996,1,3,"""for their discovery of fullerenes""",Rice University,"Houston, TX",64
300,Sir Harold W.,Kroto,10/07/1939,1,1996,1,3,"""for their discovery of fullerenes""",University of Sussex,Brighton,63
301,Richard E.,Smalley,6/06/1943,1,1996,1,3,"""for their discovery of fullerenes""",Rice University,"Houston, TX",64
302,Paul D.,Boyer,7/31/1918,1,1997,1,4,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",University of California,"Los Angeles, CA",64
303,John E.,Walker,1/07/1941,1,1997,1,4,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",MRC Laboratory of Molecular Biology,Cambridge,63
304,Jens C.,Skou,10/08/1918,1,1997,1,2,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",Aarhus University,Aarhus,15
305,Walter,Kohn,3/09/1923,1,1998,1,2,"""for his development of the density-functional theory""",University of California,"Santa Barbara, CA",64
306,John A.,Pople,10/31/1925,1,1998,1,2,"""for his development of computational methods in quantum chemistry""",Northwestern University,"Evanston, IL",64
307,Ahmed H.,Zewail,2/26/1946,1,1999,1,1,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",California Institute of Technology (Caltech),"Pasadena, CA",64
308,Emil Adolf,von Behring,03/15/1854,1,1901,4,1,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",Marburg University,Marburg,20
309,Ronald,Ross,05/13/1857,1,1902,4,1,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",University College,Liverpool,63
310,Niels Ryberg,Finsen,12/15/1860,1,1903,4,1,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",Finsen Medical Light Institute,Copenhagen,15
311,Ivan Petrovich,Pavlov,09/14/1849,1,1904,4,1,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",Military Medical Academy,St. Petersburg,51
312,Robert,Koch,12/11/1843,1,1905,4,1,"""for his investigations and discoveries in relation to tuberculosis""",Institute for Infectious Diseases,Berlin,20
313,Camillo,Golgi,07/07/1843,1,1906,4,2,"""in recognition of their work on the structure of the nervous system""",Pavia University,Pavia,33
314,Santiago,Ram„n y Cajal,05/01/1852,1,1906,4,2,"""in recognition of their work on the structure of the nervous system""",Madrid University,Madrid,55
315,Charles Louis Alphonse,Laveran,06/18/1845,1,1907,4,1,"""in recognition of his work on the role played by protozoa in causing diseases""",Institut Pasteur,Paris,19
316,Ilya Ilyich,Mechnikov,05/15/1845,1,1908,4,2,"""in recognition of their work on immunity""",Institut Pasteur,Paris,19
317,Paul,Ehrlich,03/14/1854,1,1908,4,2,"""in recognition of their work on immunity""",K_nigliches Institut fôr experimentelle Therapie (Royal Institute for Experimental Therapy),Frankfurt-on-the-Main,20
318,Paul,Ehrlich,03/14/1854,1,1908,4,2,"""in recognition of their work on immunity""",Goettingen University,G_ttingen,20
319,Emil Theodor,Kocher,08/25/1841,1,1909,4,1,"""for his work on the physiology, pathology and surgery of the thyroid gland""",Berne University,Berne,57
320,Albrecht,Kossel,09/16/1853,1,1910,4,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",University of Heidelberg,Heidelberg,20
321,Allvar,Gullstrand,06/05/1862,1,1911,4,1,"""for his work on the dioptrics of the eye""",Uppsala University,Uppsala,56
322,Alexis,Carrel,06/28/1873,1,1912,4,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",Rockefeller Institute for Medical Research,"New York, NY",64
323,Charles Robert,Richet,08/26/1850,1,1913,4,1,"""in recognition of his work on anaphylaxis""",Sorbonne University,Paris,19
324,Robert,Bˆrˆny,04/22/1876,1,1914,4,1,"""for his work on the physiology and pathology of the vestibular apparatus""",Vienna University,Vienna,4
325,Jules,Bordet,06/13/1870,1,1919,4,1,"""for his discoveries relating to immunity""",Brussels University,Brussels,6
326,Schack August Steenberg,Krogh,11/15/1874,1,1920,4,1,"""for his discovery of the capillary motor regulating mechanism""",Copenhagen University,Copenhagen,15
327,Archibald Vivian,Hill,09/26/1886,1,1922,4,2,"""for his discovery relating to the production of heat in the muscle""",London University,London,63
328,Otto Fritz,Meyerhof,04/12/1884,1,1922,4,2,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",Kiel University,Kiel,20
329,Frederick Grant,Banting,11/14/1891,1,1923,4,2,"""for the discovery of insulin""",University of Toronto,Toronto,9
330,John James Rickard,Macleod,09/06/1876,1,1923,4,2,"""for the discovery of insulin""",University of Toronto,Toronto,9
331,Willem,Einthoven,05/21/1860,1,1924,4,1,"""for his discovery of the mechanism of the electrocardiogram""",Leiden University,Leiden,58
332,Johannes Andreas Grib,Fibiger,04/23/1867,1,1926,4,1,"""for his discovery of the Spiroptera carcinoma""",Copenhagen University,Copenhagen,15
333,Julius,Wagner-Jauregg,03/07/1857,1,1927,4,1,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",Vienna University,Vienna,4
334,Charles Jules Henri,Nicolle,09/21/1866,1,1928,4,1,"""for his work on typhus""",Institut Pasteur,Tunis,19
335,Christiaan,Eijkman,08/11/1858,1,1929,4,2,"""for his discovery of the antineuritic vitamin""",Utrecht University,Utrecht,58
336,Sir Frederick Gowland,Hopkins,06/20/1861,1,1929,4,2,"""for his discovery of the growth-stimulating vitamins""",University of Cambridge,Cambridge,63
337,Karl,Landsteiner,06/14/1868,1,1930,4,1,"""for his discovery of human blood groups""",Rockefeller Institute for Medical Research,"New York, NY",64
338,Otto Heinrich,Warburg,10/08/1883,1,1931,4,1,"""for his discovery of the nature and mode of action of the respiratory enzyme""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) fôr Biologie,Berlin-Dahlem,20
339,Sir Charles Scott,Sherrington,11/27/1857,1,1932,4,2,"""for their discoveries regarding the functions of neurons""",University of Oxford,Oxford,63
340,Edgar Douglas,Adrian,11/30/1889,1,1932,4,2,"""for their discoveries regarding the functions of neurons""",University of Cambridge,Cambridge,63
